sep=,
"Malta","20.7","","","20.7","20.7","","","19.8","23.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marshall Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mauritius","14.4","","","","","","","","","","","","14.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mayotte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","23.6","","","","","","","","","","23.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Micronesia (Federated States of)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moldova, Republic of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","9.8","","","","","9.8","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Montserrat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","16.0","","","","","","","","","","16.0","12.2","12.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nauru","78.5","","","","","","","","","","","","","","","","78.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","10.0","","","","","","","","","","","","","10.0","","","","","","","","","","","","","","","","","7.0","7.0","6.2","5.7","6.4","7.3","5.4","","","","","","","","","","",""
"New Zealand","26.5","","","26.5","26.5","","22.5","22.5","22.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nigeria 1960-1961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Borneo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Mariana Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","10.0","10.0","10.0","","","9.0","","","6.1","","","","6.2","","","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied Palestinian Territory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","3.4","","","","","","","","","","","","","","","","3.4","3.4","3.4","3.4","3.4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Panama","34.7","","","","","","","","","","","34.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"People's Democratic Republic of Yemen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peru","16.3","","","","","","","","","","16.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","4.3","","","","","","","4.3","","","","","4.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","18.0","","","","","","","","","18.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
